ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,Group,Variable,Epoch,n
0.24014971886299424,-0.67,0.65,0.24434037175798748,0.1350422901347249,Male,SBP,Baseline,27
0.5050054205163444,-0.09,0.77,0.03936887366186297,0.33543790252734457,Male,SBP,Min 1,27
0.7582121555435777,0.47,0.89,0.00027958893318798684,0.603131319304972,Male,SBP,Min 2,27
0.4463692016319514,-0.21,0.75,0.0691123991649164,0.2740278916781383,Male,DBP,Baseline,27
0.4029930805813503,-0.31,0.73,0.09757756135269965,0.24668410505540495,Male,DBP,Min 1,27
0.6574708552269806,0.25,0.84,0.0040824482466390154,0.48084814246039154,Male,DBP,Min 2,27
0.4685432790298881,-0.17,0.76,0.056671816711986074,0.29736348297513027,Male,MBP,Baseline,27
0.4460366804233095,-0.22,0.75,0.069309981066682,0.28203934405987197,Male,MBP,Min 1,27
0.7458992078780271,0.44,0.88,0.00042185459347424044,0.5857712051296237,Male,MBP,Min 2,27
0.9164297619290679,0.82,0.96,7.297780092354467e-09,0.8388285364329666,Male,HR,Baseline,27
0.7263730658559524,0.4,0.88,0.0007655156588339648,0.56235751410024,Male,HR,Min 1,27
0.6675323516509327,0.27,0.85,0.00330873653001512,0.4834259297057021,Male,HR,Min 2,27
0.6356834336957655,0.17,0.84,0.00821950051610813,0.46431552135076537,Male,MCAv mean,Baseline,25
0.5955951227579124,0.08,0.82,0.015417973699773858,0.4163085808363433,Male,MCAv mean,Min 1,25
0.8105751795113053,0.57,0.92,6.32553188655323e-05,0.6738595922042686,Male,MCAv mean,Min 2,25
0.7114330361844822,0.35,0.87,0.0017257974471026594,0.55151974174898,Male,CVCi,Baseline,25
0.622698461803631,0.14,0.83,0.010201375106974993,0.43344187178536864,Male,CVCi,Min 1,25
0.8692446429298009,0.7,0.94,2.243712397320987e-06,0.7627769306522605,Male,CVCi,Min 2,25
0.6776266061707564,0.27,0.86,0.0037196089309570616,0.5122651305975663,Male,MCAv pulsatility,Baseline,25
0.40432370720468397,-0.35,0.74,0.1058349051006626,0.25163725094512734,Male,MCAv pulsatility,Min 1,25
0.4881350135260755,-0.16,0.77,0.053832774874026004,0.32072934150144206,Male,MCAv pulsatility,Min 2,25
0.7783908340478292,0.5,0.9,0.00023203297077187165,0.6341665286360789,Male,ET-CO2,Baseline,25
0.5470749004509489,-0.05,0.8,0.031781529293791154,0.37410372465188496,Male,ET-CO2,Min 1,24
0.7688339964635093,0.47,0.9,0.00042392057690434357,0.622736167010069,Male,ET-CO2,Min 2,24
0.8642921535517876,0.6,0.95,0.00030871983697870856,0.7071405677659416,Female matched,SBP,Baseline,15
0.771360398112625,0.32,0.92,0.004608565218291067,0.5747363275243371,Female matched,SBP,Min 1,15
0.8122344289825133,0.44,0.94,0.0017439784909357664,0.6836515515928109,Female matched,SBP,Min 2,15
0.8003212626498509,0.41,0.93,0.0023787799909385835,0.6278404538831125,Female matched,DBP,Baseline,15
0.8191572341833359,0.46,0.94,0.0014385911906542967,0.6116577148002422,Female matched,DBP,Min 1,15
0.8479057345744649,0.55,0.95,0.0005765714768482924,0.7287161687709628,Female matched,DBP,Min 2,15
0.882162402207689,0.65,0.96,0.0001392436319106913,0.7284779448547878,Female matched,MBP,Baseline,15
0.7945213640309863,0.39,0.93,0.0027427979245935965,0.5866002464510875,Female matched,MBP,Min 1,15
0.8307333045150129,0.5,0.94,0.0010196359146334671,0.7078322412154736,Female matched,MBP,Min 2,15
0.9413559031769095,0.83,0.98,2.0400509144685373e-06,0.8823024459377065,Female matched,HR,Baseline,15
0.9406082156607317,0.82,0.98,2.2101316565156477e-06,0.88707203308758,Female matched,HR,Min 1,15
0.8977655707734592,0.7,0.97,6.110088540065341e-05,0.7936029249143477,Female matched,HR,Min 2,15
0.5692530972577625,-0.28,0.86,0.06347842094240153,0.3936266706501001,Female matched,MCAv mean,Baseline,15
0.770867986396253,0.32,0.92,0.00465604360909058,0.6263960725376913,Female matched,MCAv mean,Min 1,15
0.675547163673061,0.03,0.89,0.02176935012724792,0.48454754925622123,Female matched,MCAv mean,Min 2,15
0.6773425998421058,0.04,0.89,0.02128059951074035,0.4775014212631715,Female matched,CVCi,Baseline,15
0.5103066777596912,-0.46,0.84,0.09700516546817609,0.2962663233054848,Female matched,CVCi,Min 1,15
0.5607589312518555,-0.31,0.85,0.06788116264428336,0.38759381082040584,Female matched,CVCi,Min 2,15
0.7056699947667749,0.12,0.9,0.014475857004507979,0.5451992999204816,Female matched,MCAv pulsatility,Baseline,15
0.27421705476202496,-1.16,0.76,0.2783416365108383,0.15042092238286717,Female matched,MCAv pulsatility,Min 1,15
0.7555853039389103,0.27,0.92,0.0063086410741096804,0.6069121087730623,Female matched,MCAv pulsatility,Min 2,15
0.7976982110922785,0.37,0.94,0.0035020970165157077,0.6291502667592016,Female matched,ET-CO2,Baseline,14
0.6982520954190948,0.06,0.9,0.019634272057043347,0.5335155689700448,Female matched,ET-CO2,Min 1,14
0.7288462088433345,0.11,0.92,0.016031952278864746,0.5498310182405164,Female matched,ET-CO2,Min 2,13
0.8147068075747054,-0.08,0.97,0.029805174976343274,0.6802705477910318,Female unmatched,SBP,Baseline,7
-0.39060364195119857,-7.09,0.76,0.650474848929639,-0.16278842170311353,Female unmatched,SBP,Min 1,7
0.4285822568840047,-2.33,0.9,0.25670666748975896,0.24742445619526465,Female unmatched,SBP,Min 2,7
0.8407061419248752,0.07,0.97,0.020889626740484807,0.5796321967534455,Female unmatched,DBP,Baseline,7
0.4735321087201976,-2.06,0.91,0.22729348499227192,0.30363043531368517,Female unmatched,DBP,Min 1,7
0.16171629777137148,-3.88,0.86,0.4179513762256537,0.07886439329524446,Female unmatched,DBP,Min 2,7
0.8661279926979939,0.22,0.98,0.013680955064793388,0.6834457699709183,Female unmatched,MBP,Baseline,7
0.21885162581742476,-3.55,0.87,0.3859624993210083,0.12000922761620178,Female unmatched,MBP,Min 1,7
0.38337501545144875,-2.59,0.89,0.2858709983999719,0.20509520148101393,Female unmatched,MBP,Min 2,7
0.9594389476337567,0.76,0.99,0.0005581866333448111,0.9181679953167509,Female unmatched,HR,Baseline,7
0.7707166336808398,-0.33,0.96,0.04808796400258344,0.5938429779999905,Female unmatched,HR,Min 1,7
0.9015933615825447,0.43,0.98,0.006259184565315828,0.8179258301565301,Female unmatched,HR,Min 2,7
-0.6309605783589514,-10.66,0.77,0.6977635615880496,-0.23615298807998633,Female unmatched,MCAv mean,Baseline,6
0.7813171107292795,-0.56,0.97,0.06036230936096693,0.6405694743455266,Female unmatched,MCAv mean,Min 1,6
0.31183084562348445,-3.92,0.9,0.34586979276141055,0.18277470234270146,Female unmatched,MCAv mean,Min 2,6
-0.5193893314534617,-9.86,0.79,0.6712965623864764,-0.19562705155393675,Female unmatched,CVCi,Baseline,6
0.8667467622747349,0.05,0.98,0.022586457428452784,0.6913377431835862,Female unmatched,CVCi,Min 1,6
0.4865203374817581,-2.67,0.93,0.24101471768858732,0.30867333626877125,Female unmatched,CVCi,Min 2,6
0.7760478437295105,-0.6,0.97,0.06310426057778654,0.6256011276019326,Female unmatched,MCAv pulsatility,Baseline,6
0.7605074930015597,-0.71,0.97,0.07140669006371747,0.5334699177452968,Female unmatched,MCAv pulsatility,Min 1,6
-0.2692865765949261,-8.07,0.82,0.6000189173289625,-0.11115208910776737,Female unmatched,MCAv pulsatility,Min 2,6
0.7569184223976895,-0.74,0.97,0.07336714381719937,0.5553573208777911,Female unmatched,ET-CO2,Baseline,6
-1.3049463041001508,-15.47,0.68,0.8096528974130069,-0.27518381858419094,Female unmatched,ET-CO2,Min 1,6
-0.6705269516097806,-10.94,0.77,0.7064727458295078,-0.20332414771728727,Female unmatched,ET-CO2,Min 2,6
